pet_type_id,type,age,gender,vaccinated,spayed_neutered,adoption_story,extracted_temperaments
448,Dog,Puppy,Male,No,No,rescued,sweet
449,Dog,Puppy,Male,Yes,Yes,adopted,"friendly, smart, fast"
450,Cat,Adult,Male,No,Yes,adopted,"sweet, affectionate, playful, loving"
451,Dog,Puppy,Male,No,No,rescued,"playful, warm, loyal"
452,Cat,Adult,Male,Not Sure,No,adopted,"playful, soft"
453,Dog,Senior,Female,Yes,Yes,rescued,friendly
454,Dog,Adult,Male,Not Sure,Not Sure,adopted,sweet
455,Dog,Puppy,Female,Yes,No,adopted,sweet
456,Dog,Puppy,Female,No,Yes,adopted,"friendly, gentle"
457,Dog,Adult,Female,Yes,No,adopted,playful
458,Cat,Kitten,Male,Not Sure,Not Sure,adopted,"active, playful"
459,Cat,Kitten,Female,Yes,No,rescued,active
460,Dog,Puppy,Male,Yes,No,rescued,loving
461,Cat,Kitten,Male,No,No,adopted,playful
462,Dog,Puppy,Male,Yes,Yes,adopted,energetic
463,Cat,Adult,Female,Yes,Yes,adopted,loving
464,Cat,Kitten,Male,No,No,adopted,active
465,Dog,Adult,Male,Yes,Yes,adopted,"smart, loyal"
466,Dog,Adult,Female,Yes,No,adopted,"playful, friendly, friendly"
467,Cat,Kitten,Male,Yes,Yes,adopted,"playful, friendly"
468,Cat,Kitten,Male,No,No,adopted,playful
469,Dog,Puppy,Female,No,No,adopted,loyal
470,Dog,Senior,Female,Not Sure,Not Sure,rescued,warm
471,Dog,Adult,Female,Not Sure,Not Sure,rescued,"cute, loving, loving"
472,Dog,Puppy,Female,Yes,No,rescued,"friendly, playful, active"
473,Dog,Puppy,Female,No,No,adopted,friendly
474,Cat,Kitten,Male,No,No,adopted,loving
475,Cat,Kitten,Male,No,No,adopted,"loyal, sweet, active"
476,Dog,Puppy,Male,Yes,No,adopted,obedient
477,Dog,Puppy,Female,No,No,adopted,sweet
478,Dog,Puppy,Female,No,No,adopted,warm
479,Cat,Kitten,Male,No,No,adopted,cute
480,Dog,Adult,Male,Yes,No,adopted,playful
481,Cat,Kitten,Female,No,No,adopted,"playful, active, cute"
482,Dog,Puppy,Male,Not Sure,Not Sure,rescued,"friendly, smart"
483,Cat,Kitten,Female,No,No,adopted,"active, cute"
484,Dog,Puppy,Male,Yes,Yes,adopted,playful
485,Dog,Puppy,Male,No,No,rescued,active
486,Dog,Puppy,Male,No,No,adopted,"funny, active"
487,Cat,Kitten,Male,No,No,adopted,"playful, active"
488,Dog,Puppy,Female,No,No,adopted,"active, cute"
489,Dog,Puppy,Male,Yes,Yes,rescued,"sweet, friendly, sweet"
490,Dog,Adult,Male,Yes,No,adopted,"friendly, playful, active, obedient, smart"
491,Cat,Kitten,Male,No,No,adopted,"fast, warm"
492,Cat,Kitten,Female,No,No,adopted,active
493,Dog,Adult,Female,No,Yes,adopted,"loving, active, fast"
494,Dog,Puppy,Female,Not Sure,Not Sure,rescued,friendly
495,Cat,Kitten,Female,No,No,adopted,"active, protective"
496,Dog,Adult,Female,Not Sure,Not Sure,rescued,loving
497,Dog,Puppy,Female,No,No,rescued,loving
498,Dog,Puppy,Female,No,Not Sure,rescued,"sweet, active"
499,Cat,Adult,Male,No,No,rescued,"active, playful, smart, cute"
500,Dog,Adult,Male,Yes,Yes,rescued,sweet
501,Dog,Puppy,Female,Not Sure,Not Sure,rescued,"friendly, gentle, playful, loving"
502,Dog,Puppy,Female,Yes,No,adopted,cute
503,Cat,Adult,Male,No,No,adopted,playful
504,Dog,Puppy,Female,Yes,Yes,adopted,"active, cute"
505,Dog,Puppy,Female,Yes,Not Sure,adopted,"loving, playful"
506,Dog,Adult,Male,Yes,Yes,adopted,"cute, smart, friendly"
507,Cat,Kitten,Female,No,No,adopted,sweet
508,Dog,Puppy,Female,No,No,adopted,"playful, affectionate"
509,Dog,Adult,Male,Yes,No,adopted,smart
510,Cat,Kitten,Male,No,No,adopted,"active, friendly"
511,Cat,Adult,Female,Yes,Yes,adopted,sweet
512,Dog,Adult,Male,Yes,No,adopted,"docile, friendly"
513,Dog,Puppy,Female,Yes,No,rescued,"playful, friendly"
514,Dog,Puppy,Female,No,No,adopted,"friendly, active, loving"
515,Cat,Kitten,Male,Yes,Yes,adopted,"cute, playful"
516,Cat,Kitten,Male,Yes,No,rescued,"loving, playful, affectionate"
517,Dog,Puppy,Female,Yes,Yes,rescued,"loving, loving, friendly"
518,Dog,Puppy,Female,Not Sure,Yes,adopted,"playful, friendly"
519,Cat,Kitten,Male,No,No,adopted,playful
520,Dog,Puppy,Female,Yes,Yes,adopted,"cute, friendly"
521,Dog,Puppy,Female,Yes,No,adopted,loving
522,Cat,Adult,Female,No,Not Sure,adopted,"cute, easy"
523,Cat,Kitten,Female,Yes,No,adopted,soft
524,Cat,Adult,Female,Yes,Yes,rescued,affectionate
525,Cat,Kitten,Male,No,No,adopted,playful
526,Dog,Puppy,Male,No,No,adopted,loving
527,Dog,Adult,Male,No,No,adopted,active
528,Dog,Puppy,Female,Not Sure,Not Sure,adopted,active
529,Cat,Kitten,Male,No,No,adopted,"cute, soft"
530,Cat,Kitten,Male,Yes,Yes,adopted,"active, playful"
531,Cat,Adult,Female,Yes,Yes,adopted,"playful, loving"
532,Cat,Adult,Male,Yes,Yes,rescued,active
533,Cat,Kitten,Male,Yes,No,adopted,"friendly, playful"
534,Dog,Puppy,Male,No,No,rescued,friendly
535,Dog,Puppy,Male,No,No,adopted,active
536,Dog,Puppy,Male,Not Sure,Not Sure,rescued,"cute, active, smart"
537,Dog,Puppy,Male,No,No,adopted,playful
538,Dog,Puppy,Male,Yes,No,rescued,"friendly, playful"
539,Cat,Kitten,Female,Yes,No,adopted,friendly
540,Cat,Kitten,Female,No,No,rescued,playful
541,Dog,Adult,Male,Yes,Yes,adopted,friendly
542,Dog,Adult,Female,Not Sure,No,rescued,loving
543,Dog,Adult,Female,Yes,No,adopted,"loyal, playful"
544,Dog,Adult,Male,Yes,No,adopted,active
545,Dog,Adult,Male,Yes,Yes,adopted,"friendly, playful"
546,Dog,Adult,Female,Yes,Yes,rescued,friendly
547,Dog,Adult,Male,Yes,Yes,rescued,"gentle, friendly"
548,Dog,Puppy,Female,No,No,rescued,"loving, loving"
549,Dog,Adult,Female,Yes,Yes,rescued,loving
550,Dog,Puppy,Female,Yes,No,adopted,obedient
551,Dog,Adult,Female,Yes,Yes,rescued,"loving, loving"
552,Cat,Kitten,Female,Yes,No,rescued,"active, easy"
553,Cat,Adult,Female,Yes,Yes,adopted,friendly
554,Dog,Puppy,Female,Yes,No,rescued,fast
555,Cat,Kitten,Female,No,No,rescued,obedient
556,Dog,Puppy,Female,No,No,adopted,"active, playful"
557,Dog,Puppy,Female,No,No,adopted,loving
558,Dog,Puppy,Male,No,No,rescued,loving
559,Dog,Adult,Male,Yes,No,adopted,fast
560,Cat,Adult,Female,Yes,Yes,rescued,loving
561,Dog,Adult,Male,No,No,rescued,"cute, active, energetic"
562,Cat,Kitten,Female,No,No,adopted,"affectionate, active, playful"
563,Cat,Kitten,Female,No,No,rescued,active
564,Cat,Adult,Female,Yes,Yes,adopted,"funny, playful"
565,Dog,Puppy,Female,Yes,Not Sure,adopted,cute
566,Dog,Adult,Female,Yes,Yes,adopted,"friendly, friendly"
567,Dog,Adult,Female,Not Sure,Not Sure,adopted,playful
568,Cat,Kitten,Female,Yes,Yes,adopted,cute
569,Cat,Adult,Male,Yes,Yes,adopted,friendly
570,Dog,Puppy,Female,Not Sure,Not Sure,adopted,loving
571,Cat,Adult,Male,No,No,rescued,"friendly, obedient"
572,Cat,Adult,Female,Yes,Yes,adopted,loyal
573,Cat,Kitten,Female,No,No,rescued,"cute, calm"
574,Cat,Kitten,Male,No,Yes,adopted,friendly
575,Dog,Puppy,Male,Yes,No,rescued,"playful, active"
576,Dog,Puppy,Female,No,No,adopted,cute
577,Cat,Kitten,Male,No,No,adopted,sweet
578,Cat,Kitten,Male,Yes,Yes,adopted,active
579,Cat,Kitten,Female,No,No,adopted,main
580,Dog,Puppy,Female,Yes,Not Sure,adopted,friendly
581,Dog,Puppy,Female,Yes,Yes,adopted,fast
582,Dog,Puppy,Male,Yes,No,rescued,cute
583,Cat,Kitten,Female,No,No,adopted,"cute, active"
584,Dog,Puppy,Female,Yes,No,rescued,"sweet, loving"
585,Cat,Kitten,Female,No,No,adopted,"playful, friendly"
586,Dog,Puppy,Male,Yes,No,adopted,playful
587,Cat,Kitten,Male,No,Yes,adopted,playful
588,Dog,Adult,Female,Not Sure,Not Sure,adopted,warm
589,Dog,Puppy,Female,Yes,No,adopted,active
590,Dog,Puppy,Female,No,No,rescued,friendly
591,Cat,Kitten,Female,Yes,No,rescued,"loving, curious"
592,Dog,Puppy,Female,Yes,No,rescued,loving
593,Dog,Adult,Female,No,No,adopted,playful
594,Cat,Kitten,Male,Yes,No,adopted,"warm, fast"
595,Dog,Adult,Female,No,Yes,rescued,friendly
596,Dog,Adult,Male,Yes,Yes,rescued,active
597,Dog,Adult,Male,Yes,Yes,adopted,"playful, smart"
598,Dog,Adult,Female,Yes,Yes,adopted,"loving, friendly, loving, obedient"
599,Cat,Adult,Male,Yes,Yes,rescued,"sweet, smart"
600,Cat,Kitten,Female,No,No,adopted,affectionate
